Source,Target,Start,start,end
Ancient Near Eastern Art,326077,1972,1972,1972
European Sculpture and Decorative Arts,204068,1964,1964,1964
Arms and Armor,25688,1891,1891,1891
Drawings and Prints,361533,1925,1925,1925
Drawings and Prints,364176,1984,1984,1984
Asian Art,43479,1902,1902,1902
Ancient Near Eastern Art,328593,2010,2010,2010
Greek and Roman Art,713908,2011,2011,2011
Egyptian Art,813193,1909,1909,1909
The American Wing,9927,1926,1926,1926
Asian Art,55607,1929,1929,1929
Greek and Roman Art,242109,1874,1874,1874
Egyptian Art,564047,1917,1917,1917
Drawings and Prints,823777,1970,1970,1970
Islamic Art,444848,1897,1897,1897
Islamic Art,742260,1948,1948,1948
Drawings and Prints,397823,2012,2012,2012
Costume Institute,121355,1973,1973,1973
Photographs,685650,1970,1970,1970
European Sculpture and Decorative Arts,196352,1928,1928,1928
Ancient Near Eastern Art,321957,1886,1886,1886
Islamic Art,446901,1917,1917,1917
Islamic Art,444037,1890,1890,1890
Islamic Art,443103,1883,1883,1883
Islamic Art,447637,1923,1923,1923
Drawings and Prints,701294,1951,1951,1951
Asian Art,68792,1930,1930,1930
Asian Art,66961,1896,1896,1896
Drawings and Prints,400342,1926,1926,1926
Costume Institute,141653,2008,2008,2008
Drawings and Prints,335077,1961,1961,1961
Drawings and Prints,350842,1965,1965,1965
Drawings and Prints,681432,1924,1924,1924
Drawings and Prints,431642,1933,1933,1933
Egyptian Art,556182,1930,1930,1930
European Sculpture and Decorative Arts,186120,1881,1881,1881
Asian Art,74537,2008,2008,2008
Arms and Armor,22386,1914,1914,1914
Costume Institute,781951,2018,2018,2018
Drawings and Prints,642602,1967,1967,1967
Greek and Roman Art,764349,2011,2011,2011
Drawings and Prints,710954,1963,1963,1963
The American Wing,4440,1941,1941,1941
Costume Institute,83352,2001,2001,2001
Drawings and Prints,398557,1980,1980,1980
Arms and Armor,27775,1936,1936,1936
Costume Institute,117293,1975,1975,1975
Asian Art,59542,2002,2002,2002
European Sculpture and Decorative Arts,216409,1909,1909,1909
Drawings and Prints,390612,1920,1920,1920
European Sculpture and Decorative Arts,676444,2015,2015,2015
Asian Art,58806,1929,1929,1929
Drawings and Prints,342763,1949,1949,1949
Drawings and Prints,397875,2012,2012,2012
Drawings and Prints,727754,1963,1963,1963
Asian Art,124882,2005,2005,2005
Ancient Near Eastern Art,325016,1960,1960,1960
Asian Art,48392,1923,1923,1923
Egyptian Art,565774,1914,1914,1914
Drawings and Prints,627517,1963,1963,1963
Medieval Art,467716,1941,1941,1941
Drawings and Prints,841598,1970,1970,1970
European Sculpture and Decorative Arts,228363,1957,1957,1957
Drawings and Prints,649993,1955,1955,1955
Drawings and Prints,385829,1952,1952,1952
The American Wing,3448,1910,1910,1910
Modern and Contemporary Art,483612,1984,1984,1984
Costume Institute,107419,1972,1972,1972
Photographs,710867,2005,2005,2005
Drawings and Prints,841908,1944,1944,1944
Arms and Armor,29175,1942,1942,1942
Asian Art,46799,1916,1916,1916
Photographs,276650,1994,1994,1994
Medieval Art,468119,1946,1946,1946
Asian Art,72598,2004,2004,2004
Drawings and Prints,648041,1994,1994,1994
Drawings and Prints,367782,1949,1949,1949
Asian Art,67159,1896,1896,1896
Photographs,266980,1993,1993,1993
Costume Institute,81494,1952,1952,1952
Drawings and Prints,660115,1921,1921,1921
Musical Instruments,504882,1889,1889,1889
Ancient Near Eastern Art,326138,1972,1972,1972
Drawings and Prints,369648,1922,1922,1922
Modern and Contemporary Art,491328,1999,1999,1999
Egyptian Art,553644,1910,1910,1910
"Arts of Africa, Oceania, and the Americas",311231,1978,1978,1978
Drawings and Prints,710148,1963,1963,1963
Drawings and Prints,347088,1969,1969,1969
Greek and Roman Art,247955,1907,1907,1907
Modern and Contemporary Art,486440,1994,1994,1994
The Cloisters,471350,1950,1950,1950
Drawings and Prints,657004,2014,2014,2014
Drawings and Prints,378078,1923,1923,1923
Islamic Art,445126,1907,1907,1907
Drawings and Prints,655109,1963,1963,1963
European Sculpture and Decorative Arts,222459,1930,1930,1930
Photographs,263855,1983,1983,1983
Asian Art,36696,1917,1917,1917
European Sculpture and Decorative Arts,206257,1974,1974,1974
The American Wing,1413,1980,1980,1980
Drawings and Prints,426939,1930,1930,1930
Drawings and Prints,399027,2012,2012,2012
"Arts of Africa, Oceania, and the Americas",308834,1964,1964,1964
Drawings and Prints,667964,1958,1958,1958
Drawings and Prints,429140,1962,1962,1962
Drawings and Prints,343041,1964,1964,1964
Greek and Roman Art,240149,1874,1874,1874
European Sculpture and Decorative Arts,229224,1967,1967,1967
European Sculpture and Decorative Arts,228254,1957,1957,1957
Drawings and Prints,374337,1967,1967,1967
Ancient Near Eastern Art,323944,1943,1943,1943
Drawings and Prints,344182,1991,1991,1991
European Sculpture and Decorative Arts,195408,1925,1925,1925
Egyptian Art,558521,1904,1904,1904
Drawings and Prints,393152,1942,1942,1942
Ancient Near Eastern Art,323130,1934,1934,1934
Modern and Contemporary Art,485078,1988,1988,1988
Drawings and Prints,651800,1951,1951,1951
The Cloisters,473465,2001,2001,2001
The American Wing,1714,1936,1936,1936
Arms and Armor,28742,1943,1943,1943
Drawings and Prints,361594,1951,1951,1951
Modern and Contemporary Art,482653,1983,1983,1983
Egyptian Art,553816,1910,1910,1910
Photographs,262118,1977,1977,1977
Drawings and Prints,760399,1959,1959,1959
Photographs,285535,2003,2003,2003
Asian Art,72783,2005,2005,2005
Drawings and Prints,831025,1959,1959,1959
Modern and Contemporary Art,487273,1923,1923,1923
Drawings and Prints,390343,2018,2018,2018
Drawings and Prints,760650,1963,1963,1963
Costume Institute,109899,1974,1974,1974
European Sculpture and Decorative Arts,187633,1893,1893,1893
Costume Institute,121937,1984,1984,1984
Drawings and Prints,364048,1970,1970,1970
Drawings and Prints,394312,1960,1960,1960
Musical Instruments,503529,1999,1999,1999
Arms and Armor,22282,1914,1914,1914
Arms and Armor,27617,2018,2018,2018
Asian Art,69669,1944,1944,1944
"Arts of Africa, Oceania, and the Americas",314761,1983,1983,1983
Drawings and Prints,747838,1963,1963,1963
Drawings and Prints,409661,1941,1941,1941
Drawings and Prints,889795,1963,1963,1963
Photographs,694776,2004,2004,2004
Drawings and Prints,736842,1917,1917,1917
Asian Art,73389,2006,2006,2006
Costume Institute,141559,2008,2008,2008
Drawings and Prints,390788,1946,1946,1946
Drawings and Prints,364096,2003,2003,2003
Costume Institute,98293,1926,1926,1926
Photographs,267021,1994,1994,1994
Drawings and Prints,399526,1919,1919,1919
Drawings and Prints,688024,2014,2014,2014
Photographs,710882,2005,2005,2005
Drawings and Prints,433359,1933,1933,1933
Arms and Armor,31083,1936,1936,1936
Drawings and Prints,351148,1933,1933,1933
Egyptian Art,556871,1922,1922,1922
European Paintings,436838,1960,1960,1960
The Libraries,591869,nan,nan,nan
Drawings and Prints,815616,1963,1963,1963
Photographs,259733,1970,1970,1970
Arms and Armor,21945,1904,1904,1904
Islamic Art,447845,1926,1926,1926
Drawings and Prints,411237,1963,1963,1963
Drawings and Prints,349076,2000,2000,2000
Modern and Contemporary Art,485273,1989,1989,1989
Drawings and Prints,364747,1941,1941,1941
Drawings and Prints,372367,1955,1955,1955
European Sculpture and Decorative Arts,191595,1910,1910,1910
Costume Institute,646439,2015,2015,2015
Medieval Art,467497,1932,1932,1932
Photographs,259635,1970,1970,1970
Costume Institute,169187,2009,2009,2009
Costume Institute,110314,1955,1955,1955
Asian Art,39621,1914,1914,1914
Asian Art,68442,1922,1922,1922
Drawings and Prints,357189,1963,1963,1963
Egyptian Art,571623,1969,1969,1969
Photographs,275929,1994,1994,1994
Islamic Art,450192,1940,1940,1940
Islamic Art,445788,1909,1909,1909
Greek and Roman Art,736957,2011,2011,2011
Ancient Near Eastern Art,326786,1983,1983,1983
The American Wing,8856,1978,1978,1978
Drawings and Prints,900276,1949,1949,1949
Drawings and Prints,811491,1959,1959,1959
Asian Art,71737,1920,1920,1920
Robert Lehman Collection,461259,1975,1975,1975
Arms and Armor,28064,1943,1943,1943
Drawings and Prints,419474,1963,1963,1963
Medieval Art,464641,1917,1917,1917
Drawings and Prints,815173,1963,1963,1963
Drawings and Prints,659614,1951,1951,1951
Costume Institute,82605,1993,1993,1993
Robert Lehman Collection,459764,1975,1975,1975
Photographs,262570,1979,1979,1979
Costume Institute,112647,1950,1950,1950
European Sculpture and Decorative Arts,225077,1936,1936,1936
Robert Lehman Collection,460283,1975,1975,1975
Drawings and Prints,410098,1961,1961,1961
Costume Institute,123075,1977,1977,1977
Drawings and Prints,772949,1963,1963,1963
Drawings and Prints,367116,1942,1942,1942
European Sculpture and Decorative Arts,202153,1958,1958,1958
Arms and Armor,30968,1936,1936,1936
Drawings and Prints,856538,1963,1963,1963
Photographs,260388,1972,1972,1972
European Sculpture and Decorative Arts,189714,1907,1907,1907
Egyptian Art,767352,1912,1912,1912
Egyptian Art,554053,1905,1905,1905
Drawings and Prints,349393,1970,1970,1970
Drawings and Prints,788450,1963,1963,1963
Drawings and Prints,736033,1972,1972,1972
"Arts of Africa, Oceania, and the Americas",309510,1967,1967,1967
Drawings and Prints,415187,1963,1963,1963
Ancient Near Eastern Art,324322,1954,1954,1954
Asian Art,78649,2013,2013,2013
Asian Art,67201,1896,1896,1896
Greek and Roman Art,665941,1874,1874,1874
Photographs,268171,1933,1933,1933
Musical Instruments,500884,1889,1889,1889
Robert Lehman Collection,459390,1975,1975,1975
Costume Institute,79656,1997,1997,1997
Drawings and Prints,360874,1920,1920,1920
Asian Art,37779,2000,2000,2000
Drawings and Prints,388654,1924,1924,1924
Drawings and Prints,711807,1963,1963,1963
Drawings and Prints,679446,1963,1963,1963
Egyptian Art,565557,1920,1920,1920
Asian Art,44068,1902,1902,1902
Greek and Roman Art,670456,2011,2011,2011
Drawings and Prints,725856,1963,1963,1963
Greek and Roman Art,695780,2011,2011,2011
Costume Institute,158124,2009,2009,2009
Drawings and Prints,842101,1958,1958,1958
Photographs,780715,1963,1963,1963
Asian Art,68748,1930,1930,1930
Islamic Art,454578,2002,2002,2002
Drawings and Prints,427320,1930,1930,1930
Drawings and Prints,648467,1963,1963,1963
Asian Art,37436,1986,1986,1986
Drawings and Prints,344776,1962,1962,1962
Costume Institute,163153,2011,2011,2011
Drawings and Prints,355347,1967,1967,1967
Asian Art,69124,1937,1937,1937
Asian Art,62014,1950,1950,1950
Drawings and Prints,626656,1959,1959,1959
Drawings and Prints,710810,1963,1963,1963
European Sculpture and Decorative Arts,197787,1936,1936,1936
The American Wing,12431,1950,1950,1950
"Arts of Africa, Oceania, and the Americas",318701,2000,2000,2000
Costume Institute,104386,1958,1958,1958
Arms and Armor,722505,2016,2016,2016
Asian Art,66407,1896,1896,1896
Drawings and Prints,646247,1994,1994,1994
Modern and Contemporary Art,483633,1984,1984,1984
The Cloisters,471110,1932,1932,1932
Asian Art,75366,2009,2009,2009
Costume Institute,95231,1960,1960,1960
Asian Art,44292,1997,1997,1997
Medieval Art,463394,1910,1910,1910
Photographs,269632,1952,1952,1952
Photographs,265441,1987,1987,1987
Drawings and Prints,366068,1988,1988,1988
European Sculpture and Decorative Arts,221795,1926,1926,1926
Photographs,268961,1946,1946,1946
Greek and Roman Art,251399,1923,1923,1923
Modern and Contemporary Art,484683,1986,1986,1986
The American Wing,1902,1960,1960,1960
Drawings and Prints,419435,1963,1963,1963
Drawings and Prints,889557,1924,1924,1924
Drawings and Prints,407983,1963,1963,1963
Drawings and Prints,631105,1943,1943,1943
Drawings and Prints,688747,1963,1963,1963
European Sculpture and Decorative Arts,227150,1946,1946,1946
Drawings and Prints,392052,1917,1917,1917
European Sculpture and Decorative Arts,229748,1981,1981,1981
Egyptian Art,558301,1926,1926,1926
Drawings and Prints,627331,2013,2013,2013
Arms and Armor,24072,1936,1936,1936
Asian Art,64229,2001,2001,2001
Drawings and Prints,367979,1926,1926,1926
European Sculpture and Decorative Arts,228017,1957,1957,1957
Arms and Armor,28477,1943,1943,1943
Drawings and Prints,391439,1953,1953,1953
Drawings and Prints,827514,1963,1963,1963
Asian Art,52083,1916,1916,1916
Musical Instruments,502114,1889,1889,1889
Greek and Roman Art,248295,1910,1910,1910
Greek and Roman Art,253623,1941,1941,1941
Drawings and Prints,403800,1941,1941,1941
Robert Lehman Collection,461478,1975,1975,1975
Drawings and Prints,341294,1880,1880,1880
Photographs,272043,1994,1994,1994
Egyptian Art,550642,1930,1930,1930
Egyptian Art,554968,1930,1930,1930
Medieval Art,475750,1925,1925,1925
The American Wing,5261,1932,1932,1932
Photographs,266224,1990,1990,1990
Modern and Contemporary Art,483048,1984,1984,1984
Drawings and Prints,817819,2018,2018,2018
Drawings and Prints,401140,1951,1951,1951
The American Wing,11617,1926,1926,1926
Costume Institute,90801,1988,1988,1988
Arms and Armor,26413,1946,1946,1946
Egyptian Art,562082,1920,1920,1920
Asian Art,44530,1988,1988,1988
Drawings and Prints,349894,1924,1924,1924
Drawings and Prints,711840,1929,1929,1929
Egyptian Art,559211,1913,1913,1913
Asian Art,47624,1929,1929,1929
Photographs,264678,1986,1986,1986
The Cloisters,470823,1925,1925,1925
Drawings and Prints,400072,1963,1963,1963
Photographs,738028,1994,1994,1994
Islamic Art,457410,1939,1939,1939
The Cloisters,471684,1955,1955,1955
Egyptian Art,569968,1921,1921,1921
The American Wing,17338,1967,1967,1967
Egyptian Art,554704,1926,1926,1926
Drawings and Prints,746880,1960,1960,1960
Drawings and Prints,734736,1920,1920,1920
Photographs,856136,2021,2021,2021
Drawings and Prints,403375,1941,1941,1941
Asian Art,64041,1977,1977,1977
Drawings and Prints,385408,1940,1940,1940
Drawings and Prints,399644,1951,1951,1951
Asian Art,70376,1964,1964,1964
Greek and Roman Art,668587,2011,2011,2011
Costume Institute,158311,2009,2009,2009
Drawings and Prints,350984,1970,1970,1970
Photographs,275918,1994,1994,1994
Photographs,276258,1994,1994,1994
European Sculpture and Decorative Arts,209294,1998,1998,1998
Asian Art,56949,1936,1936,1936
Drawings and Prints,362103,1972,1972,1972
Costume Institute,158924,2009,2009,2009
Drawings and Prints,775338,1959,1959,1959
Drawings and Prints,814238,1963,1963,1963
Drawings and Prints,776587,2011,2011,2011
Drawings and Prints,398830,2012,2012,2012
Egyptian Art,557693,1930,1930,1930
Egyptian Art,559214,1913,1913,1913
European Sculpture and Decorative Arts,224458,1936,1936,1936
Drawings and Prints,684146,1923,1923,1923
Costume Institute,109871,1966,1966,1966
The Cloisters,468563,1960,1960,1960
Egyptian Art,625911,1930,1930,1930
European Sculpture and Decorative Arts,201478,1953,1953,1953
Drawings and Prints,387148,1967,1967,1967
"Arts of Africa, Oceania, and the Americas",315383,1987,1987,1987
Drawings and Prints,779124,1963,1963,1963
Greek and Roman Art,768194,2011,2011,2011
Asian Art,56821,1936,1936,1936
Drawings and Prints,339431,1918,1918,1918
Photographs,306935,2005,2005,2005
Drawings and Prints,635276,1963,1963,1963
Photographs,642958,1993,1993,1993
Modern and Contemporary Art,485906,1991,1991,1991
European Sculpture and Decorative Arts,190933,1908,1908,1908
Egyptian Art,568308,1909,1909,1909
Drawings and Prints,362199,1963,1963,1963
Modern and Contemporary Art,491776,2000,2000,2000
Musical Instruments,502224,1889,1889,1889
Drawings and Prints,345531,1926,1926,1926
European Sculpture and Decorative Arts,221346,1921,1921,1921
Asian Art,43305,1932,1932,1932
Asian Art,55352,1922,1922,1922
Costume Institute,755797,2017,2017,2017
Drawings and Prints,353513,1984,1984,1984
Modern and Contemporary Art,485697,1991,1991,1991
Photographs,696520,2015,2015,2015
Photographs,278261,1994,1994,1994
Drawings and Prints,362037,1951,1951,1951
Photographs,734836,1981,1981,1981
The American Wing,7759,1941,1941,1941
European Sculpture and Decorative Arts,228079,1957,1957,1957
Drawings and Prints,382081,1965,1965,1965
Drawings and Prints,652864,1950,1950,1950
Drawings and Prints,709003,1963,1963,1963
Musical Instruments,504849,1889,1889,1889
Islamic Art,451331,1955,1955,1955
Islamic Art,769023,1948,1948,1948
Drawings and Prints,338525,1999,1999,1999
Asian Art,69836,1946,1946,1946
Photographs,284562,1994,1994,1994
Drawings and Prints,394932,2010,2010,2010
Costume Institute,116915,1941,1941,1941
Photographs,264162,1984,1984,1984
Drawings and Prints,343167,2000,2000,2000
Asian Art,52573,1920,1920,1920
Islamic Art,447624,1923,1923,1923
Photographs,265680,1987,1987,1987
Egyptian Art,568538,1909,1909,1909
Photographs,685316,2015,2015,2015
Photographs,279138,1994,1994,1994
Drawings and Prints,408427,1963,1963,1963
Arms and Armor,695229,1928,1928,1928
The American Wing,10948,1938,1938,1938
"Arts of Africa, Oceania, and the Americas",312997,1979,1979,1979
Greek and Roman Art,745470,2011,2011,2011
Greek and Roman Art,245617,1891,1891,1891
The American Wing,1926,1962,1962,1962
European Sculpture and Decorative Arts,216256,1909,1909,1909
Greek and Roman Art,256677,nan,nan,nan
Photographs,285640,2005,2005,2005
Drawings and Prints,367311,1949,1949,1949
Egyptian Art,575446,1923,1923,1923
European Paintings,438947,2007,2007,2007
Drawings and Prints,402930,1963,1963,1963
Photographs,747382,2015,2015,2015
Costume Institute,99681,1977,1977,1977
Robert Lehman Collection,459075,1975,1975,1975
Egyptian Art,550768,1890,1890,1890
Egyptian Art,545292,1906,1906,1906
Costume Institute,102797,1948,1948,1948
Egyptian Art,553441,1910,1910,1910
The American Wing,2539,1937,1937,1937
Photographs,732795,2005,2005,2005
European Sculpture and Decorative Arts,189267,1907,1907,1907
Asian Art,58031,1914,1914,1914
Asian Art,42373,1991,1991,1991
Egyptian Art,546380,1933,1933,1933
Islamic Art,457864,1910,1910,1910
Musical Instruments,505254,1946,1946,1946
Drawings and Prints,339776,1962,1962,1962
Asian Art,52887,1925,1925,1925
Drawings and Prints,631107,1943,1943,1943
Asian Art,41112,1902,1902,1902
Asian Art,61292,1967,1967,1967
Egyptian Art,556189,1926,1926,1926
Asian Art,49793,1995,1995,1995
Costume Institute,88164,1990,1990,1990
Asian Art,66664,1896,1896,1896
Photographs,685363,1970,1970,1970
European Sculpture and Decorative Arts,189372,1907,1907,1907
Drawings and Prints,398758,2012,2012,2012
The American Wing,8012,1924,1924,1924
Photographs,264210,1984,1984,1984
Drawings and Prints,821096,1917,1917,1917
Drawings and Prints,635562,1963,1963,1963
The American Wing,11258,1983,1983,1983
Asian Art,61029,1912,1912,1912
"Arts of Africa, Oceania, and the Americas",316364,1990,1990,1990
Drawings and Prints,396703,1931,1931,1931
Drawings and Prints,891561,1963,1963,1963
Drawings and Prints,651378,1983,1983,1983
Islamic Art,456929,2008,2008,2008
Drawings and Prints,786012,1950,1950,1950
Costume Institute,141617,2008,2008,2008
Egyptian Art,550645,1958,1958,1958
Photographs,729501,1974,1974,1974
Egyptian Art,553123,1915,1915,1915
The American Wing,8298,1969,1969,1969
Drawings and Prints,637011,1963,1963,1963
Drawings and Prints,361414,1920,1920,1920
Photographs,269302,1949,1949,1949
Arms and Armor,25302,1943,1943,1943
European Sculpture and Decorative Arts,225308,1936,1936,1936
Greek and Roman Art,244337,1874,1874,1874
Musical Instruments,502422,1889,1889,1889
Photographs,269001,1946,1946,1946
Drawings and Prints,625317,1947,1947,1947
Modern and Contemporary Art,480825,1970,1970,1970
Drawings and Prints,343614,1949,1949,1949
Asian Art,59857,1891,1891,1891
Drawings and Prints,352423,1983,1983,1983
Arms and Armor,28474,1943,1943,1943
Drawings and Prints,776368,1963,1963,1963
Drawings and Prints,815948,1963,1963,1963
Drawings and Prints,401420,1963,1963,1963
Drawings and Prints,684676,1963,1963,1963
Greek and Roman Art,251341,1923,1923,1923
The American Wing,707454,2016,2016,2016
Costume Institute,82767,2001,2001,2001
Egyptian Art,559005,1911,1911,1911
Costume Institute,150528,2009,2009,2009
Greek and Roman Art,703355,2011,2011,2011
The American Wing,16795,2000,2000,2000
Drawings and Prints,335980,1965,1965,1965
Greek and Roman Art,253522,1936,1936,1936
Drawings and Prints,826043,1929,1929,1929
Musical Instruments,501400,1889,1889,1889
Drawings and Prints,771910,1924,1924,1924
Drawings and Prints,645068,1963,1963,1963
Drawings and Prints,416175,1952,1952,1952
Drawings and Prints,354803,1954,1954,1954
Drawings and Prints,338887,1917,1917,1917
Drawings and Prints,413199,1963,1963,1963
Drawings and Prints,648962,1926,1926,1926
Modern and Contemporary Art,717500,2017,2017,2017
Egyptian Art,561725,1926,1926,1926
Drawings and Prints,811896,1959,1959,1959
Egyptian Art,553140,1917,1917,1917
Drawings and Prints,394326,1924,1924,1924
Musical Instruments,504785,1889,1889,1889
Drawings and Prints,653133,1952,1952,1952
Drawings and Prints,665425,1918,1918,1918
Greek and Roman Art,249029,1915,1915,1915
Photographs,290165,1994,1994,1994
Musical Instruments,505552,1989,1989,1989
Drawings and Prints,629252,1923,1923,1923
Greek and Roman Art,689466,2011,2011,2011
The American Wing,15187,2006,2006,2006
Greek and Roman Art,670453,2011,2011,2011
Photographs,263519,1983,1983,1983
Asian Art,63743,1975,1975,1975
Photographs,273453,1994,1994,1994
Islamic Art,446738,1915,1915,1915
Arms and Armor,32735,1926,1926,1926
Costume Institute,115709,1982,1982,1982
European Paintings,437236,1917,1917,1917
Drawings and Prints,839861,1923,1923,1923
Drawings and Prints,710645,1963,1963,1963
Egyptian Art,568499,1915,1915,1915
The Libraries,681149,2009,2009,2009
Drawings and Prints,725745,1922,1922,1922
Drawings and Prints,362758,1924,1924,1924
European Sculpture and Decorative Arts,210224,1952,1952,1952
Drawings and Prints,368157,1962,1962,1962
Costume Institute,109606,1942,1942,1942
Drawings and Prints,351912,1960,1960,1960
Greek and Roman Art,243037,1874,1874,1874
Costume Institute,157674,2009,2009,2009
European Sculpture and Decorative Arts,239513,1974,1974,1974
Drawings and Prints,354999,1952,1952,1952
"Arts of Africa, Oceania, and the Americas",311983,1978,1978,1978
Costume Institute,122106,1940,1940,1940
Drawings and Prints,401754,1963,1963,1963
Photographs,268556,1937,1937,1937
Egyptian Art,556690,1931,1931,1931
"Arts of Africa, Oceania, and the Americas",312828,1979,1979,1979
European Sculpture and Decorative Arts,213928,1908,1908,1908
Arms and Armor,32424,1926,1926,1926
The American Wing,11490,1987,1987,1987
Costume Institute,174499,2009,2009,2009
Photographs,263343,1982,1982,1982
Photographs,275765,1994,1994,1994
Asian Art,59028,1982,1982,1982
Drawings and Prints,767559,1963,1963,1963
Robert Lehman Collection,461229,1975,1975,1975
Drawings and Prints,373370,1931,1931,1931
European Sculpture and Decorative Arts,202139,1958,1958,1958
Asian Art,70501,1970,1970,1970
The American Wing,2688,1969,1969,1969
Costume Institute,106752,1940,1940,1940
Drawings and Prints,397983,2011,2011,2011
Drawings and Prints,350623,1927,1927,1927
European Sculpture and Decorative Arts,192071,1913,1913,1913
Photographs,273445,1994,1994,1994
Drawings and Prints,661331,1963,1963,1963
Drawings and Prints,348387,1931,1931,1931
Drawings and Prints,373512,1931,1931,1931
The American Wing,4622,1964,1964,1964
Greek and Roman Art,248591,1911,1911,1911
Greek and Roman Art,740213,2011,2011,2011
Arms and Armor,27448,1914,1914,1914
Drawings and Prints,831184,1965,1965,1965
Drawings and Prints,414838,1963,1963,1963
Drawings and Prints,396625,1943,1943,1943
Costume Institute,169617,2009,2009,2009
Drawings and Prints,714283,1963,1963,1963
Asian Art,75405,2010,2010,2010
Drawings and Prints,738785,1957,1957,1957
Photographs,751631,2017,2017,2017
Costume Institute,114690,1950,1950,1950
European Sculpture and Decorative Arts,222995,1934,1934,1934
Photographs,261822,1976,1976,1976
The Cloisters,466195,1991,1991,1991
Costume Institute,97901,1975,1975,1975
Drawings and Prints,334895,1982,1982,1982
Drawings and Prints,346283,1939,1939,1939
Drawings and Prints,389669,1986,1986,1986
Greek and Roman Art,245068,1881,1881,1881
Drawings and Prints,814827,1962,1962,1962
Drawings and Prints,353003,1937,1937,1937
Asian Art,49540,1920,1920,1920
Egyptian Art,571972,1926,1926,1926
Greek and Roman Art,253008,1929,1929,1929
Costume Institute,83107,1962,1962,1962
European Sculpture and Decorative Arts,239024,2012,2012,2012
Modern and Contemporary Art,482437,1982,1982,1982
Asian Art,41457,1921,1921,1921
European Sculpture and Decorative Arts,187998,1895,1895,1895
Costume Institute,169080,2009,2009,2009
Greek and Roman Art,239601,1874,1874,1874
Drawings and Prints,338927,1912,1912,1912
Arms and Armor,24247,1936,1936,1936
Asian Art,63716,1975,1975,1975
European Sculpture and Decorative Arts,224899,1936,1936,1936
Photographs,685790,1970,1970,1970
Modern and Contemporary Art,496420,1979,1979,1979
Drawings and Prints,813231,1959,1959,1959
Photographs,284031,2000,2000,2000
Egyptian Art,551861,2016,2016,2016
European Sculpture and Decorative Arts,222620,1933,1933,1933
Drawings and Prints,379368,1923,1923,1923
Drawings and Prints,739101,1959,1959,1959
Islamic Art,456288,1911,1911,1911
Arms and Armor,31371,1936,1936,1936
Greek and Roman Art,242353,1874,1874,1874
"Arts of Africa, Oceania, and the Americas",314690,1983,1983,1983
Photographs,294443,1998,1998,1998
Arms and Armor,33154,1920,1920,1920
Drawings and Prints,698348,1961,1961,1961
Asian Art,52986,2015,2015,2015
Musical Instruments,500847,1889,1889,1889
The Cloisters,471570,1955,1955,1955
Robert Lehman Collection,459968,1975,1975,1975
Photographs,290026,1994,1994,1994
The American Wing,8020,1968,1968,1968
Drawings and Prints,391650,1962,1962,1962
Drawings and Prints,738575,1946,1946,1946
Drawings and Prints,356143,1932,1932,1932
Asian Art,68569,1930,1930,1930
European Sculpture and Decorative Arts,192858,1914,1914,1914
Drawings and Prints,625263,1965,1965,1965
Greek and Roman Art,249548,1917,1917,1917
Photographs,264713,1986,1986,1986
Drawings and Prints,379619,1923,1923,1923
Drawings and Prints,890598,1949,1949,1949
Costume Institute,115582,1975,1975,1975
Drawings and Prints,892449,1963,1963,1963
Costume Institute,168678,2009,2009,2009
Drawings and Prints,838069,1985,1985,1985
Asian Art,75372,2009,2009,2009
Egyptian Art,548492,1910,1910,1910
Photographs,263744,1983,1983,1983
Asian Art,41436,1921,1921,1921
"Arts of Africa, Oceania, and the Americas",844007,2020,2020,2020
Asian Art,38664,1987,1987,1987
European Sculpture and Decorative Arts,202842,1963,1963,1963
Costume Institute,120706,1945,1945,1945
Drawings and Prints,419646,1963,1963,1963
Costume Institute,105153,1906,1906,1906
Drawings and Prints,653697,1963,1963,1963
Drawings and Prints,729740,1963,1963,1963
European Sculpture and Decorative Arts,208079,1992,1992,1992
Drawings and Prints,689682,1963,1963,1963
Costume Institute,89023,1942,1942,1942
Drawings and Prints,772999,1986,1986,1986
Robert Lehman Collection,460693,1975,1975,1975
Greek and Roman Art,255587,1977,1977,1977
"Arts of Africa, Oceania, and the Americas",307501,1891,1891,1891
Drawings and Prints,353228,1962,1962,1962
Photographs,272259,1994,1994,1994
Drawings and Prints,364635,1939,1939,1939
The American Wing,3057,nan,nan,nan
The American Wing,3657,1971,1971,1971
Greek and Roman Art,249050,1915,1915,1915
The American Wing,648924,2014,2014,2014
European Sculpture and Decorative Arts,227481,1950,1950,1950
European Sculpture and Decorative Arts,186385,1883,1883,1883
Arms and Armor,26655,1998,1998,1998
Drawings and Prints,653441,1963,1963,1963
Drawings and Prints,779642,1963,1963,1963
Asian Art,67961,1909,1909,1909
Photographs,285122,2003,2003,2003
Egyptian Art,559226,1913,1913,1913
Costume Institute,169437,2009,2009,2009
European Sculpture and Decorative Arts,214486,1908,1908,1908
Drawings and Prints,415235,1963,1963,1963
Drawings and Prints,759615,1931,1931,1931
Drawings and Prints,852291,1959,1959,1959
"Arts of Africa, Oceania, and the Americas",308944,1964,1964,1964
Costume Institute,81342,1999,1999,1999
European Sculpture and Decorative Arts,204972,1968,1968,1968
"Arts of Africa, Oceania, and the Americas",310813,1978,1978,1978
Photographs,282357,1994,1994,1994
European Sculpture and Decorative Arts,226934,1942,1942,1942
Photographs,261138,1974,1974,1974
