Source,Target,Start,start,end
Drawings and Prints,366925,1959,1959,1959
European Sculpture and Decorative Arts,200437,1948,1948,1948
Egyptian Art,549943,1916,1916,1916
European Sculpture and Decorative Arts,215150,1908,1908,1908
Medieval Art,465731,1917,1917,1917
Drawings and Prints,750872,1947,1947,1947
Islamic Art,742019,1948,1948,1948
Musical Instruments,503445,1992,1992,1992
Greek and Roman Art,255942,1989,1989,1989
Drawings and Prints,666306,1998,1998,1998
Islamic Art,445342,1908,1908,1908
Asian Art,52529,1929,1929,1929
European Paintings,436509,1982,1982,1982
Drawings and Prints,371556,1942,1942,1942
Drawings and Prints,432395,1973,1973,1973
Costume Institute,156285,2009,2009,2009
Drawings and Prints,641353,1948,1948,1948
Asian Art,37432,1986,1986,1986
Photographs,265192,1987,1987,1987
Asian Art,69350,1942,1942,1942
Egyptian Art,560060,1930,1930,1930
European Sculpture and Decorative Arts,189967,1907,1907,1907
Drawings and Prints,372400,1955,1955,1955
Greek and Roman Art,733674,2011,2011,2011
Drawings and Prints,656645,1987,1987,1987
The American Wing,823336,2020,2020,2020
Drawings and Prints,383926,2008,2008,2008
Drawings and Prints,380242,1923,1923,1923
Drawings and Prints,346633,1959,1959,1959
Drawings and Prints,759647,1931,1931,1931
European Sculpture and Decorative Arts,224296,1936,1936,1936
Drawings and Prints,403128,1963,1963,1963
European Sculpture and Decorative Arts,158398,2009,2009,2009
Drawings and Prints,757345,2021,2021,2021
Drawings and Prints,342723,1917,1917,1917
Greek and Roman Art,242912,1874,1874,1874
Drawings and Prints,347645,1962,1962,1962
Drawings and Prints,727302,1963,1963,1963
Drawings and Prints,342928,1949,1949,1949
The American Wing,17792,1892,1892,1892
Ancient Near Eastern Art,326931,1984,1984,1984
Drawings and Prints,347900,1952,1952,1952
The American Wing,1889,1971,1971,1971
Photographs,263245,1981,1981,1981
Drawings and Prints,369299,1972,1972,1972
"Arts of Africa, Oceania, and the Americas",310329,1977,1977,1977
Modern and Contemporary Art,489987,1999,1999,1999
Drawings and Prints,358494,2002,2002,2002
Asian Art,76611,2011,2011,2011
Drawings and Prints,402675,1963,1963,1963
Asian Art,68804,1930,1930,1930
Greek and Roman Art,246888,1899,1899,1899
Modern and Contemporary Art,485241,1988,1988,1988
European Sculpture and Decorative Arts,191652,1911,1911,1911
Islamic Art,453407,1997,1997,1997
Asian Art,56236,1902,1902,1902
Asian Art,75849,1959,1959,1959
Photographs,264583,1985,1985,1985
Islamic Art,450086,1940,1940,1940
Costume Institute,83545,1964,1964,1964
Drawings and Prints,700623,1937,1937,1937
Ancient Near Eastern Art,323790,1948,1948,1948
Drawings and Prints,839247,1975,1975,1975
Costume Institute,745967,2017,2017,2017
Drawings and Prints,395687,1981,1981,1981
Modern and Contemporary Art,485812,1991,1991,1991
Drawings and Prints,816243,1953,1953,1953
Greek and Roman Art,750584,2011,2011,2011
European Sculpture and Decorative Arts,186680,1884,1884,1884
Asian Art,44963,1991,1991,1991
Greek and Roman Art,698859,2011,2011,2011
Musical Instruments,504884,1889,1889,1889
Greek and Roman Art,251551,1924,1924,1924
Greek and Roman Art,753230,2011,2011,2011
Drawings and Prints,811377,1959,1959,1959
Drawings and Prints,411828,1961,1961,1961
Greek and Roman Art,668420,2011,2011,2011
Drawings and Prints,342139,1979,1979,1979
Drawings and Prints,423586,1959,1959,1959
The American Wing,7514,1913,1913,1913
Greek and Roman Art,737242,2011,2011,2011
Egyptian Art,568835,1911,1911,1911
Drawings and Prints,367057,1922,1922,1922
Drawings and Prints,843973,1970,1970,1970
Egyptian Art,554492,1927,1927,1927
Costume Institute,80119,1995,1995,1995
The American Wing,853517,2021,2021,2021
Drawings and Prints,811128,1920,1920,1920
Drawings and Prints,711606,1929,1929,1929
Greek and Roman Art,759767,2011,2011,2011
"Arts of Africa, Oceania, and the Americas",312038,1978,1978,1978
Costume Institute,169976,2009,2009,2009
Asian Art,39302,1995,1995,1995
Costume Institute,81809,1991,1991,1991
Drawings and Prints,359341,1941,1941,1941
Costume Institute,80401,1994,1994,1994
Drawings and Prints,371791,1926,1926,1926
Drawings and Prints,694109,1963,1963,1963
Photographs,267540,1933,1933,1933
Photographs,291732,2009,2009,2009
Greek and Roman Art,244574,1874,1874,1874
Photographs,279253,1994,1994,1994
Islamic Art,448685,1932,1932,1932
Drawings and Prints,336437,1978,1978,1978
Drawings and Prints,388636,1918,1918,1918
Photographs,272563,1994,1994,1994
Drawings and Prints,359340,1941,1941,1941
The Cloisters,471668,1955,1955,1955
Drawings and Prints,427127,1963,1963,1963
Drawings and Prints,371021,1917,1917,1917
Drawings and Prints,394779,2010,2010,2010
European Sculpture and Decorative Arts,217434,1909,1909,1909
Costume Institute,159241,2009,2009,2009
European Sculpture and Decorative Arts,208983,1959,1959,1959
Greek and Roman Art,737192,2011,2011,2011
Drawings and Prints,419793,1930,1930,1930
"Arts of Africa, Oceania, and the Americas",315223,1987,1987,1987
European Sculpture and Decorative Arts,201558,1953,1953,1953
Ancient Near Eastern Art,321652,1886,1886,1886
Costume Institute,83614,1989,1989,1989
Drawings and Prints,652812,1963,1963,1963
Modern and Contemporary Art,491529,1999,1999,1999
Musical Instruments,503842,1889,1889,1889
The Libraries,888594,nan,nan,nan
Costume Institute,95040,2003,2003,2003
Drawings and Prints,820944,1963,1963,1963
Islamic Art,450980,1949,1949,1949
Asian Art,65262,2002,2002,2002
Drawings and Prints,836078,2019,2019,2019
Drawings and Prints,393656,2010,2010,2010
Drawings and Prints,392155,1928,1928,1928
Drawings and Prints,819498,1926,1926,1926
Drawings and Prints,757719,1953,1953,1953
Drawings and Prints,843847,1958,1958,1958
Photographs,675551,1968,1968,1968
Drawings and Prints,689972,1963,1963,1963
Drawings and Prints,376467,2007,2007,2007
Ancient Near Eastern Art,322582,1930,1930,1930
European Sculpture and Decorative Arts,200728,1950,1950,1950
Drawings and Prints,411545,1963,1963,1963
Asian Art,73665,2007,2007,2007
Drawings and Prints,397412,1986,1986,1986
Drawings and Prints,353530,1968,1968,1968
Egyptian Art,552726,1910,1910,1910
Drawings and Prints,375297,1962,1962,1962
Drawings and Prints,423542,1963,1963,1963
Drawings and Prints,778634,2016,2016,2016
Drawings and Prints,342797,1949,1949,1949
Drawings and Prints,379169,1923,1923,1923
European Sculpture and Decorative Arts,698523,2015,2015,2015
Costume Institute,114249,1968,1968,1968
Drawings and Prints,385595,1966,1966,1966
Asian Art,49605,1986,1986,1986
Greek and Roman Art,733543,2011,2011,2011
Drawings and Prints,702303,1963,1963,1963
Photographs,265374,1987,1987,1987
Greek and Roman Art,247479,1906,1906,1906
The American Wing,7323,nan,nan,nan
Drawings and Prints,653287,1963,1963,1963
Medieval Art,474369,2002,2002,2002
Egyptian Art,563164,1917,1917,1917
Costume Institute,138570,2007,2007,2007
Drawings and Prints,424919,1924,1924,1924
Costume Institute,83038,2001,2001,2001
Photographs,278149,1994,1994,1994
Asian Art,53422,2015,2015,2015
Greek and Roman Art,252955,1928,1928,1928
European Sculpture and Decorative Arts,226500,1940,1940,1940
Drawings and Prints,786441,1963,1963,1963
Drawings and Prints,357180,1962,1962,1962
Asian Art,66797,1896,1896,1896
Drawings and Prints,898995,1935,1935,1935
Drawings and Prints,684211,1923,1923,1923
Drawings and Prints,811147,1959,1959,1959
European Sculpture and Decorative Arts,207756,1988,1988,1988
The American Wing,11136,1906,1906,1906
Photographs,277924,1994,1994,1994
Costume Institute,97156,1974,1974,1974
Asian Art,51407,1913,1913,1913
Drawings and Prints,341358,1966,1966,1966
Greek and Roman Art,253440,1934,1934,1934
Medieval Art,474703,1912,1912,1912
Costume Institute,117464,1975,1975,1975
European Sculpture and Decorative Arts,229883,1985,1985,1985
European Sculpture and Decorative Arts,205767,1974,1974,1974
Photographs,272528,1994,1994,1994
Photographs,285750,2005,2005,2005
Egyptian Art,560807,1911,1911,1911
European Sculpture and Decorative Arts,200484,1948,1948,1948
Asian Art,48946,2001,2001,2001
European Sculpture and Decorative Arts,226972,1943,1943,1943
Drawings and Prints,681654,1952,1952,1952
Asian Art,41135,1902,1902,1902
Photographs,281884,1994,1994,1994
Ancient Near Eastern Art,325712,1965,1965,1965
Drawings and Prints,372624,1917,1917,1917
Drawings and Prints,370578,1991,1991,1991
Greek and Roman Art,248058,1908,1908,1908
Asian Art,50155,1998,1998,1998
Egyptian Art,569578,1930,1930,1930
Greek and Roman Art,240386,1874,1874,1874
Arms and Armor,22488,1914,1914,1914
Drawings and Prints,401300,1951,1951,1951
Drawings and Prints,889092,1963,1963,1963
Costume Institute,175894,2009,2009,2009
The American Wing,3068,1970,1970,1970
Greek and Roman Art,752809,2011,2011,2011
Drawings and Prints,897045,1883,1883,1883
European Sculpture and Decorative Arts,825976,2019,2019,2019
Drawings and Prints,628834,1948,1948,1948
Egyptian Art,625773,1930,1930,1930
