Source,Target
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Drawings and Prints
Gift of Mr. and Mrs. WIlliam B. Liebman,Drawings and Prints
Gift of Mrs. Clyfford Still,Modern and Contemporary Art
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",Drawings and Prints
Bequest of Joseph H. Durkee,Ancient Near Eastern Art
Rogers Fund,Islamic Art
Gift of Sally B. Walker,Costume Institute
Bequest of Cora E. Wells,European Sculpture and Decorative Arts
Rogers Fund,European Sculpture and Decorative Arts
Gift of Mrs. Emily Winthrop Miles,The American Wing
"The Elisha Whittelsey Collection, The Elisha Whittelesy Fund",Drawings and Prints
Rogers Fund,Medieval Art
"Gift of Clarence H. Mackay, Archer M. Huntington, Stephen H. P. Pell and Bashford Dean",Medieval Art
"Gift of the Work Projects Administration, New York",Drawings and Prints
Gift of The United Piece Dye Works,European Sculpture and Decorative Arts
Gift of the Members of the Committee of the Bertha King Benkard Memorial Fund,The American Wing
Harris Brisbane Dick Fund,Drawings and Prints
Rogers Fund,Ancient Near Eastern Art
Gift of James DeLancey Verplanck and John Bayard Rodgers Verplanck,The American Wing
Rogers Fund and Edward S. Harkness Gift,Egyptian Art
Gift of Fairchild Bowler,Drawings and Prints
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Drawings and Prints
"Purchase, Funds from various donors, by exchange",Costume Institute
Gift of Mrs. Earl Rowe,Costume Institute
"The Sylmaris Collection, Gift of George Coe Graves",European Sculpture and Decorative Arts
Whittelsey Fund,Modern and Contemporary Art
"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art",Greek and Roman Art
Gift of Bernice Chrysler Garbisch,Costume Institute
Bequest of George C. Stone,Arms and Armor
Gift of Doris Wiener,Asian Art
"The Elisha Whittelsey Collection, TheElisha Whittelsey fund",Drawings and Prints
"Purchase, H. Dunscombe Colt Gift",Ancient Near Eastern Art
Gift of Mr. and Mrs. Stuart P. Feld,The American Wing
Bequest of Joseph V. McMullan,Asian Art
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Drawings and Prints
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",Drawings and Prints
"Purchase, Leslie and Johanna Garfield Gift, Lila Acheson Wallace, Charles and Jessie Price, and David T Schiff Gifts, The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, Dolores Valvidia Hurlburt Bequest, Peco Foundation and Friends of Drawings and Prints Gifts, and funds from various donors",Drawings and Prints
Gift of John Kloss,Costume Institute
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",Drawings and Prints
Rogers Fund,European Sculpture and Decorative Arts
Gift of Weston J. Naef,Photographs
"Max G. Wildnauer Fund and The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",Drawings and Prints
"Gift of Mrs. Constance D. Stieglitz, in memory of her husband, Marcel H. Stieglitz",European Sculpture and Decorative Arts
Rogers Fund,Islamic Art
Rogers Fund,Asian Art
"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art",Greek and Roman Art
"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art",Greek and Roman Art
Gift of Mary B. Sheehan,Asian Art
Gift of The Honorable William Benton,Drawings and Prints
Bequest of Catherine D. Wentworth,European Sculpture and Decorative Arts
Rogers Fund,Egyptian Art
"The Nuttall Collection, Gift of Mrs. Magdalena Nuttall",European Sculpture and Decorative Arts
Gift of J. Pierpont Morgan,Medieval Art
Harris Brisbane Dick Fund,Drawings and Prints
Rogers Fund,Islamic Art
Gift of Barnard College,Musical Instruments
Gift of Norbert Schimmel Trust,Greek and Roman Art
John B. Turner Fund,Drawings and Prints
Rogers Fund,Islamic Art
"H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer",Asian Art
The Jack and Belle Linsky Collection,European Paintings
Gift of J. R. Watkins,Drawings and Prints
Gift of Mrs. Alan Crane,Drawings and Prints
"Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum",Costume Institute
Gift of Mrs. Robert G. Olmsted,Costume Institute
Harris Brisbane Dick Fund,Drawings and Prints
Gift of Cynthia Hazen Polsky,Asian Art
"Ford Motor Company Collection, Gift of Ford Motor Company and John C. Waddell",Photographs
Gift of Mrs. Horace Havemeyer,Asian Art
"Theodore M. Davis Collection, Bequest of Theodore M. Davis",Egyptian Art
Gift of J. Pierpont Morgan,European Sculpture and Decorative Arts
Gift of Dr. Ernest Harms,Drawings and Prints
"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art",Greek and Roman Art
Gift of Martin Eidelberg,The American Wing
Karen B. Cohen Fund,Drawings and Prints
Gift of William Brewster,Drawings and Prints
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",Drawings and Prints
Harris Brisbane Dick Fund,Drawings and Prints
Gift of The United Piece Dye Works,European Sculpture and Decorative Arts
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Drawings and Prints
"Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum",European Sculpture and Decorative Arts
"Gift of Mrs. Edward S. Harkness in memory of her mother, Elizabeth Greenman Stillman",European Sculpture and Decorative Arts
Gift of Jacqueline Loewe Fowler,Drawings and Prints
Gift of Henry Walters,Drawings and Prints
"The Cesnola Collection, Purchased by subscription",Greek and Roman Art
