Source,Target
Gift of Mr. and Mrs. H. O. Havemeyer,Asian Art
"Purchase, Rogers Fund and Mr. and Mrs. David Nash and Anonymous Gifts","Arts of Africa, Oceania, and the Americas"
Harris Brisbane Dick Fund,Photographs
The Jack and Belle Linsky Collection,European Paintings
"Elisha Whittelsey Collection, Elisha Whittelsey Fund",Photographs
"The Edward W. C. Arnold Collection of New York Prints, Maps and Pictures, Bequest of Edward W. C. Arnold",Drawings and Prints
Louis V. Bell Fund,Islamic Art
Seymour Fund,Asian Art
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",Drawings and Prints
Bequest of Richard B. Seager,Arms and Armor
"Purchase, H. Dunscombe Colt Gift",Ancient Near Eastern Art
"Gift of Mrs. Paxton T. Dunn, in memory of her mother, Hildreth Meiere",Costume Institute
Bequest of Phyllis Massar,Drawings and Prints
"The Cesnola Collection, Purchased by subscription",Greek and Roman Art
Bequest of George C. Stone,Arms and Armor
Rogers Fund,European Sculpture and Decorative Arts
"H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer",Asian Art
"Rogers Fund, transferred from the Library",Drawings and Prints
Gift of Egypt Exploration Fund,Egyptian Art
Gift of Harry Shaw Newman,Drawings and Prints
"H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer",Asian Art
Gift of Mrs. George A. Crocker (Elizabeth Masten),Asian Art
Gift of Charles K. Davis,The American Wing
Dodge Fund,Drawings and Prints
Gift of Jack Lenor Larsen Incorporated,Modern and Contemporary Art
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",Drawings and Prints
Purchase,Ancient Near Eastern Art
Gift of Lincoln Kirstein,Drawings and Prints
Gift of Mrs. Samuel P. Avery,European Sculpture and Decorative Arts
Gift of Miss Marion Hague,Islamic Art
Rogers Fund,Islamic Art
Rogers Fund,Drawings and Prints
Gift of Mrs. Mary Sloan Hess,European Sculpture and Decorative Arts
"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art",Greek and Roman Art
"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art",Greek and Roman Art
Rogers Fund,Drawings and Prints
Gift of William C. Dove,Modern and Contemporary Art
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Drawings and Prints
"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art",Greek and Roman Art
Harris Brisbane Dick Fund,Drawings and Prints
"Purchase, Mary and James G. Wallach Family Foundation Gift, in honor of John T. Carpenter",Asian Art
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",Drawings and Prints
Bequest of William S. Lieberman,Drawings and Prints
Gift of J. Pierpont Morgan,Medieval Art
"The Albert Ten Eyck Gardner Collection, Gift of the Centennial Committee",Photographs
Gift of F. Peter Rose,"Arts of Africa, Oceania, and the Americas"
Gift of Lincoln Kirstein,Asian Art
"Purchase, Gift of Elizabeth M. Riley, by exchange, Eugene M. Grant Gift, and funds from various donors",Musical Instruments
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Drawings and Prints
Gift of Kit Smyth Basquin,Drawings and Prints
Walker Evans Archive,Photographs
Walker Evans Archive,Photographs
Rogers Fund,Egyptian Art
"Edward C. Moore Collection, Bequest of Edward C. Moore",Greek and Roman Art
"The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift",Asian Art
Gift of Maria and Lee Friedlander,Photographs
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",Drawings and Prints
Gift of Mr. R.M. Parmelee and Mrs. W.L. Parker,European Sculpture and Decorative Arts
"Gift of Helena Bienstock, Cynthia MacKay Keegan and Frank E. Johnson",Drawings and Prints
Rogers Fund,European Sculpture and Decorative Arts
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Drawings and Prints
Rogers Fund,Egyptian Art
Rogers Fund,European Sculpture and Decorative Arts
"Purchase, Anne and Carl Stern Gift",Drawings and Prints
Gift of Irene Averbrook Weissman,Costume Institute
Rogers Fund,Drawings and Prints
"Gift of Mrs. Harrison Williams, Lady Mendl, and Mrs. Ector Munn",Costume Institute
The Cloisters Collection,The Cloisters
Rogers Fund,Islamic Art
"Rogers Fund, transferred from the Library",Drawings and Prints
Anonymous Gift,Drawings and Prints
Gift of Rupert L. Joseph,Greek and Roman Art
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Drawings and Prints
"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art",Greek and Roman Art
Harris Brisbane Dick Fund,Drawings and Prints
"Friends of the American Wing Fund, by exchange",The American Wing
"Gilman Collection, Gift of The Howard Gilman Foundation",Photographs
"Samuel Eilenberg Collection, Gift of Samuel Eilenberg",Asian Art
Walker Evans Archive,Photographs
"Rogers Fund, transferred from the Library",Drawings and Prints
Rogers Fund,Medieval Art
"Purchase, Joseph Pulitzer Bequest",Drawings and Prints
Gift of Mr. and Mrs. Nathan Cummings,"Arts of Africa, Oceania, and the Americas"
Gift of Mrs. Emily Winthrop Miles,The American Wing
Gift of Mr. and Mrs. Gerald W. Mefferd,Photographs
Gift of Henry Geldzahler,Drawings and Prints
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Drawings and Prints
Bequest of George C. Stone,Arms and Armor
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Drawings and Prints
"The Cesnola Collection, Purchased by subscription",Greek and Roman Art
Bequest of Maria P. James,European Sculpture and Decorative Arts
"The Howard Mansfield Collection, Gift of Howard Mansfield",Arms and Armor
Rogers Fund,Drawings and Prints
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Drawings and Prints
Gift of Mrs. Richard E. Linburn,Asian Art
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Drawings and Prints
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",Drawings and Prints
"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art",Greek and Roman Art
"Bashford Dean Memorial Collection, Funds from various Donors",Costume Institute
Rogers Fund,Egyptian Art
Rogers Fund,Ancient Near Eastern Art
Gift of The Jack and Belle Linsky Foundation,European Paintings
Gift of Mrs. Arthur A. Houghton Jr.,"Arts of Africa, Oceania, and the Americas"
Bequest of Arthur M. Bullowa,"Arts of Africa, Oceania, and the Americas"
"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art",Greek and Roman Art
Gift of Fred and Rita Richman,"Arts of Africa, Oceania, and the Americas"
Gift of Susan Mullin Vogel,"Arts of Africa, Oceania, and the Americas"
"The Cesnola Collection, Purchased by subscription",Greek and Roman Art
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Drawings and Prints
"Gift of Susan Biebel, in memory of Franklin M. Biebel",Drawings and Prints
Gift of Lincoln Kirstein,Asian Art
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Drawings and Prints
Bequest of George Blumenthal,European Sculpture and Decorative Arts
"Purchase, Samuel J. Wagstaff Jr. Bequest and Lila Acheson Wallace Gift",Photographs
"Samuel Eilenberg Collection, Bequest of Samuel Eilenberg",Asian Art
Harris Brisbane Dick Fund,European Sculpture and Decorative Arts
"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art",Greek and Roman Art
"Edward C. Moore Collection, Bequest of Edward C. Moore",Asian Art
Walker Evans Archive,Photographs
Rogers Fund,Medieval Art
Gift of Mr. and Mrs. Jonathan P. Rosen,Greek and Roman Art
Gift of Herman A. E. and Paul C. Jaehne,Arms and Armor
Gift of Ellen Peckham,"Arts of Africa, Oceania, and the Americas"
"Edward C. Moore Collection, Bequest of Edward C. Moore",Islamic Art
Gift of Carleen Maley Hutchins,Musical Instruments
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Drawings and Prints
"Purchase, The Horace W. Goldsmith Foundation Gift, through Joyce and Robert Menschel",Photographs
Fletcher Fund,Asian Art
Gift of J. Pierpont Morgan,Medieval Art
Gift of Mrs. Byron C. Foy,Costume Institute
"Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum",Costume Institute
Gift of Bonnie Cashin,Costume Institute
Gift of Herman A. E. and Paul C. Jaehne,Arms and Armor
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Drawings and Prints
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Drawings and Prints
Gift of Marvin B. Patterson (Mrs. Jefferson Patterson),Costume Institute
"Gift of Sir William H. Redding, in memory of his wife",European Sculpture and Decorative Arts
Gift of George A. Hearn,European Paintings
Rogers Fund,European Sculpture and Decorative Arts
Rogers Fund,Islamic Art
Gift of William H. Riggs,Arms and Armor
Rogers Fund,Islamic Art
Gift of J. Pierpont Morgan,Greek and Roman Art
Gift of Theodore M. Davis,Egyptian Art
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Drawings and Prints
Gift of Mrs. Oscar de la Renta,Costume Institute
The Jack and Belle Linsky Collection,Medieval Art
"Purchase, The Vincent Astor Foundation Gift",Asian Art
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",Drawings and Prints
Anonymous Gift,Drawings and Prints
"Promised Gift of Leon D. and Debra R. Black, and Purchase, Lila Acheson Wallace Gift",Drawings and Prints
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Drawings and Prints
Walker Evans Archive,Photographs
Rogers Fund,Medieval Art
Harris Brisbane Dick Fund,Drawings and Prints
Robert Lehman Collection,Robert Lehman Collection
"Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum",Costume Institute
Gift of Ruth Ford,Costume Institute
Harris Brisbane Dick Fund,Drawings and Prints
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Drawings and Prints
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Drawings and Prints
Seymour Fund,Asian Art
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",Drawings and Prints
Bequest of George C. Stone,Arms and Armor
Rogers Fund,Drawings and Prints
The Crosby Brown Collection of Musical Instruments,Musical Instruments
Rogers Fund,Egyptian Art
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Drawings and Prints
"Purchase, Irene Lewisohn Bequest",Costume Institute
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",Drawings and Prints
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Drawings and Prints
Gift of Rev. and Mrs. Paul H. Hazlett,Modern and Contemporary Art
"Gift of Mrs. J. Insley Blair, in memory of her husband",The American Wing
Gift of Mr. and Mrs. Jason Berger,Costume Institute
"Theodore M. Davis Collection, Bequest of Theodore M. Davis",Egyptian Art
Rogers Fund,Drawings and Prints
Gift of William Brewster,Drawings and Prints
Gift of J. Pierpont Morgan,European Sculpture and Decorative Arts
Gift of William B. Osgood Field,Islamic Art
Gift of Mrs. Nina R. Caimi,Modern and Contemporary Art
Bequest of Arthur M. Bullowa,"Arts of Africa, Oceania, and the Americas"
"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art",Greek and Roman Art
"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art",Greek and Roman Art
"Gift of Georgiana W. Sargent, in memory of John Osborne Sargent",Drawings and Prints
Gift of David del Gaizo,Islamic Art
Gift of J. Pierpont Morgan,European Paintings
"Purchase, Robert Wood Johnson Jr. Charitable Trust and Lila Acheson Wallace Gifts",Photographs
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",Drawings and Prints
Gift of Mrs. J.B. Johnston,European Sculpture and Decorative Arts
Gift of Henry G. Marquand,Islamic Art
"H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer",Asian Art
Gift of J. Pierpont Morgan,European Sculpture and Decorative Arts
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Drawings and Prints
Gift of Philip van Ingen,Drawings and Prints
Dodge Fund,Drawings and Prints
Bequest of John B. Elliott,"Arts of Africa, Oceania, and the Americas"
"Rogers Fund, transferred from the Library",Drawings and Prints
Institute of Fine Arts,"Arts of Africa, Oceania, and the Americas"
Gift of Harry G. Friedman,Drawings and Prints
Gift of Mr. and Mrs. Robert Morgan,Costume Institute
Gift of H. J. Tei,Asian Art
"Purchase, Joseph Pulitzer Bequest",Drawings and Prints
Pfeiffer Fund,Drawings and Prints
Harris Brisbane Dick Fund,Drawings and Prints
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",Drawings and Prints
"Purchase, Mr. and Mrs. H. O. H. Frelinghuysen Gift",The American Wing
Pfeiffer Fund,Islamic Art
Harris Brisbane Dick Fund,Drawings and Prints
Rogers Fund,Egyptian Art
Gift of Mr. and Mrs. David Preston,Modern and Contemporary Art
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Drawings and Prints
Gift of George D. Pratt,Medieval Art
"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller","Arts of Africa, Oceania, and the Americas"
Rogers Fund,Egyptian Art
Gift of Mrs. Francis Ormond,The American Wing
"Purchase, Alfred Stieglitz Society Gifts, Joyce F. Menschel Photography Library Fund, and Maureen and Noel Testa Gift",Photographs
Rogers Fund,Drawings and Prints
"Purchase, The Lauder Foundation, Evelyn H. and Leonard A. Lauder Fund Gift",Drawings and Prints
"Museum Accession, transferred from the Library",Drawings and Prints
Rogers Fund,Asian Art
Gift of the artist,Photographs
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Drawings and Prints
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Drawings and Prints
Gift of Mr. Carl Van Vechten,Costume Institute
"Purchase, Leon Lowenstein Foundation Inc. Gift",Drawings and Prints
Gift of The American Society for the Excavation of Sardis,Greek and Roman Art
Bequest of Marie-Louise Garbáty,Asian Art
Gift of Felix M. Warburg and his family,Drawings and Prints
Walker Evans Archive,Photographs
Walker Evans Archive,Photographs
Bequest of Edwin De T. Bechtel,Drawings and Prints
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",Photographs
Bequest of Julian Clarence Levi,Islamic Art
Gift of The Irving Penn Foundation,Photographs
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",Drawings and Prints
Gift of Mr. and Mrs. Robert J. Massar,Photographs
Gift of Leon Dalva Sr.,Drawings and Prints
Gift of The American Society for the Excavation of Sardis,Greek and Roman Art
Gift of Joyce and Robert Menschel,Photographs
"Gift of Julia and John Curtis, in celebration of the Museum’s 150th Anniversary",Asian Art
Rogers Fund and Edward S. Harkness Gift,Egyptian Art
Gift of Mrs. Henry T. Curtis,Drawings and Prints
Bequest of Mary Clark Thompson,Asian Art
Robert Lehman Collection,Robert Lehman Collection
Gift of Mrs. Robert W. de Forest,The American Wing
"The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift",Asian Art
Gift of Charles Stewart Smith,Asian Art
"Gift of Margaret L. Berger, in memory of Aline M. Leibman",Costume Institute
Harris Brisbane Dick Fund,Drawings and Prints
Walker Evans Archive,Photographs
Gift of Mr. and Mrs. Luke Vincent Lockwood,European Sculpture and Decorative Arts
"Purchase, Joseph Pulitzer Beqeust",Asian Art
Rogers Fund and Edward S. Harkness Gift,Egyptian Art
Harris Brisbane Dick Fund,Drawings and Prints
Gift of Mr. and Mrs. Charles Wrightsman,European Sculpture and Decorative Arts
Gift of Charles Stewart Smith,Asian Art
"The Lesley and Emma Sheafer Collection, Bequest of Emma A. Sheafer",Asian Art
Gift of Mrs. Laura W. Andre,Greek and Roman Art
Gift of J. Pierpont Morgan,Greek and Roman Art
Harris Brisbane Dick Fund,Drawings and Prints
"Gift of Mr. and Mrs. Yukikazu Iwasa, in memory of Mr. and Mrs. Seizaburo Iwasa",Asian Art
Walker Evans Archive,Photographs
Gift of Victor D. Brenner,European Sculpture and Decorative Arts
Rogers Fund,Drawings and Prints
"Purchase, Joseph Pulitzer Bequest",Drawings and Prints
"acquired from The Museum of Modern Art, Lillie P. Bliss Collection",Drawings and Prints
Rogers Fund,Egyptian Art
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",Drawings and Prints
"Gilman Collection, Gift of The Howard Gilman Foundation",Photographs
Gift of Edward S. Harkness,Egyptian Art
Gift of Lori and Victor Germack,Photographs
Warner Communications Inc. Purchase Fund,Photographs
Harris Brisbane Dick Fund,Drawings and Prints
Rogers Fund,European Sculpture and Decorative Arts
Gift of the artist,Photographs
Gift of Mr. and Mrs. Harold Kaye,Photographs
Gift of Kelement Simoncic,Drawings and Prints
"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art",Greek and Roman Art
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Photographs
"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art",Greek and Roman Art
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Drawings and Prints
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Drawings and Prints
Harris Brisbane Dick Fund,Drawings and Prints
Bequest of Laura Frances Hearn,European Sculpture and Decorative Arts
Purchase,European Sculpture and Decorative Arts
John B. Turner Fund,Drawings and Prints
Bequest of Mary Anna Palmer Draper,Greek and Roman Art
"Gift of Georgiana W. Sargent, in memory of John Osborne Sargent",Drawings and Prints
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",Drawings and Prints
"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art",Greek and Roman Art
Gift of Mrs. Olga Sichel and Max Philippson,Drawings and Prints
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Drawings and Prints
Gift of the artist,Photographs
Bequest of W. Gedney Beatty,Drawings and Prints
"Glenn Tilley Morse Collection, Bequest of Glenn Tilley Morse",Drawings and Prints
Gift of Felix M. Warburg and his family,Drawings and Prints
Bequest of Harry G. Sperling,Drawings and Prints
Gift of Mr. and Mrs. H. O. Havemeyer,Asian Art
Gift of Stewart Huston,Drawings and Prints
"Purchase, Joseph Pulitzer Bequest",Asian Art
"Harris Brisbane Dick Fund, by exchange",Drawings and Prints
Seymour Fund,Asian Art
Rogers Fund,Islamic Art
Gift of Susan Dwight Bliss,Drawings and Prints
Gift of Letterio Calapai,Drawings and Prints
"The Hans Syz Collection, Gift of Stephan B. Syz and John D. Syz",European Sculpture and Decorative Arts
Rogers Fund,European Sculpture and Decorative Arts
"Rogers Fund, by exchange",Drawings and Prints
Anonymous Gift,Modern and Contemporary Art
"Gilman Collection, Gift of The Howard Gilman Foundation",Photographs
"Purchase, Edward S. Harkness Gift",Egyptian Art
Gift of Mrs. Seller,Costume Institute
Gift of Bashford Dean,Arms and Armor
Rogers Fund,Drawings and Prints
"Gift of Miss Alice M. Dike, in memory of her father, Henry A. Dike",Medieval Art
Gift of Fern and Lewis Lowenfels,Drawings and Prints
"Gift of Samuel P. Avery, transferred from the Library",Drawings and Prints
"Robert O. Dougan Collection, Gift of Warner Communications Inc.",Photographs
"Mary and Cheney Cowles Collection, Gift of Mary and Cheney Cowles",Asian Art
Harris Brisbane Dick Fund,Drawings and Prints
John B. Turner Fund,Drawings and Prints
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Drawings and Prints
"Gift of Tony Bechara, in celebration of the Museum's 150th Anniversary",Modern and Contemporary Art
Purchase by subscription,Asian Art
Rogers Fund,Asian Art
"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art",Greek and Roman Art
Harris Brisbane Dick Fund,Drawings and Prints
Robert Lehman Collection,Robert Lehman Collection
"Gilman Collection, Purchase, Mrs. Walter Annenberg and The Annenberg Foundation Gift",Photographs
"The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift",Asian Art
Gift of Mrs. Francis Ormond,The American Wing
Bequest of Phyllis Massar,Drawings and Prints
Rogers Fund,Islamic Art
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Drawings and Prints
"Dorothy Noyes Arms and John Taylor Arms Memorial Collection, Gift of The Society of American Graphic Artists Inc.",Drawings and Prints
Gift of Loretta Hines Howard,European Sculpture and Decorative Arts
Walker Evans Archive,Photographs
Rogers Fund,Islamic Art
Gift of Grace A. Albee,Drawings and Prints
"The Francis Lathrop Collection, Purchase, Frederick C. Hewitt Fund",Asian Art
Walker Evans Archive,Photographs
"Anonymous Gift, in memory of Mrs. Therese Vlasto",Greek and Roman Art
Gift of Henry G. Marquand,"Arts of Africa, Oceania, and the Americas"
Rogers Fund,European Sculpture and Decorative Arts
Gift of Heber R. Bishop,Asian Art
Rogers Fund,Drawings and Prints
"The Cesnola Collection, Purchased by subscription",Greek and Roman Art
Rogers Fund,Drawings and Prints
"Purchase, The Martin Foundation Inc. Gift",Drawings and Prints
"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art",Greek and Roman Art
"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art",Greek and Roman Art
Gift of Mrs. Richard Riddell,Drawings and Prints
"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art",Greek and Roman Art
Gift of Udo M. Reinach,Modern and Contemporary Art
Bequest of Grace M. Pugh,Drawings and Prints
"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller","Arts of Africa, Oceania, and the Americas"
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Drawings and Prints
"The Cesnola Collection, Purchased by subscription",Greek and Roman Art
"Purchase, Fletcher Fund and The Guide Foundation Inc. Gift",Egyptian Art
Rogers Fund,Drawings and Prints
"Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum",Costume Institute
Gift of Arpad,Costume Institute
Munsey Fund,European Sculpture and Decorative Arts
Gift of Samuel P. Avery,European Sculpture and Decorative Arts
Rogers Fund,Islamic Art
"Gift of Timothy, Peter, and Jonathan Zorach","Arts of Africa, Oceania, and the Americas"
Gift of Irwin Untermyer,European Sculpture and Decorative Arts
Rogers Fund,European Sculpture and Decorative Arts
Gift of Bashford Dean,Arms and Armor
Rogers Fund,Ancient Near Eastern Art
"Purchase, Samuel J. Wagstaff Jr. Bequest and Lila Acheson Wallace Gift",Photographs
Morris K. Jesup Fund,The American Wing
Rogers Fund,Asian Art
Gift of MH Holdings,Drawings and Prints
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Drawings and Prints
Gift of C. T. Currelly,Egyptian Art
"Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum",Costume Institute
Gift of Mrs. Edward G. Sparrow,Costume Institute
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Drawings and Prints
Bequest of George C. Stone,Arms and Armor
"Gift of Robert Hatfield Ellsworth, in memory of La Ferne Hatfield Ellsworth",Asian Art
Gift of Mrs. Charles Wrightsman,Drawings and Prints
Gift of J. Pierpont Morgan,European Sculpture and Decorative Arts
Harris Brisbane Dick Fund,Drawings and Prints
Rogers Fund,Drawings and Prints
Gift of Joseph Veach Noble,Drawings and Prints
"The Cesnola Collection, Purchased by subscription",Greek and Roman Art
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",Drawings and Prints
Gift of Maria and Lee Friedlander,Photographs
Harris Brisbane Dick Fund,Drawings and Prints
Gift of Sheldon and Barbara Breitbart,Ancient Near Eastern Art
Gift of Helen Miller Gould,Egyptian Art
Gift of Mrs. Wesley Wright Jr.,Costume Institute
Rogers Fund,Asian Art
"Gilman Collection, Purchase, Robert Rosenkranz Gift",Photographs
"Purchase, Vital Projects Fund Inc. Gift, through Joyce and Robert Menschel, Cynthia Hazen Polsky and several members of The Chairman's Council Gifts",Photographs
Gift of Jane Holzer,Costume Institute
Walker Evans Archive,Photographs
Gift of Edward B. Bruce,Asian Art
"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art",Greek and Roman Art
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Drawings and Prints
Bequest of Arthur M. Bullowa,"Arts of Africa, Oceania, and the Americas"
"Purchase, Irene Lewisohn Bequest",Costume Institute
Rogers Fund,European Sculpture and Decorative Arts
"Museum Accession, transferred from the Library",Drawings and Prints
"Purchase, Edward S. Harkness Gift",Egyptian Art
Rogers Fund,Asian Art
"Ralph T. Coe Collection, Gift of Ralph T. Coe Foundation for the Arts","Arts of Africa, Oceania, and the Americas"
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Drawings and Prints
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",Drawings and Prints
Walker Evans Archive,Photographs
Gift of Dorothy Liebes Design Inc.,Modern and Contemporary Art
"Samuel Eilenberg Collection, Gift of Samuel Eilenberg",Asian Art
Gift of Fairchild Bowler,Drawings and Prints
"Purchase, The Annenberg Fund Inc. Gift",European Paintings
Bequest of Catherine D. Wentworth,European Sculpture and Decorative Arts
"Elisha Whittelsey Collection, Elisha Whittelsey Fund",Photographs
Rogers Fund,Drawings and Prints
Gift of William H. Riggs,Arms and Armor
Bequest of Annie C. Kane,Asian Art
"Bequest of Jane Costello Goldberg, from the Collection of Arnold I. Goldberg","Arts of Africa, Oceania, and the Americas"
"From the Collection of Mrs. Lathrop Colgate Harper, Bequest of Mabel Herbert Harper",European Sculpture and Decorative Arts
John B. Turner Fund,Drawings and Prints
Harris Brisbane Dick Fund,Drawings and Prints
"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art",Greek and Roman Art
Herbert Mitchell Collection,Photographs
"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art",Greek and Roman Art
"Gift of Hilda Katz/Hulda Weber, in honor of A. Hyatt Mayor",Drawings and Prints
Gift of Paul E. Manheim,Asian Art
"Edward C. Moore Collection, Bequest of Edward C. Moore",Asian Art
Gift of Helen Miller Gould,Egyptian Art
The Cloisters Collection,The Cloisters
"Museum Accession, transferred from the Library",Drawings and Prints
"Gilman Collection, Purchase, Ann Tenenbaum and Thomas H. Lee Gift",Photographs
Gift of The United Piece Dye Works,European Sculpture and Decorative Arts
"Rogers Fund, transferred from the Library",Drawings and Prints
Rogers Fund,Ancient Near Eastern Art
"Mary Griggs Burke Collection, Gift of the Mary and Jackson Burke Foundation",Asian Art
John B. Turner Fund,Drawings and Prints
Gift of Wilbur Macey Stone,Drawings and Prints
Stewart S. MacDermott Fund,Drawings and Prints
Rogers Fund,Greek and Roman Art
Rogers Fund,Islamic Art
"Gift of Ann and Byron Reimus, in memory of Marika Wallach-Chiotakis",Drawings and Prints
Bequest of Benjamin Altman,Asian Art
Gift of J. Pierpont Morgan,European Sculpture and Decorative Arts
Bequest of Emma T. Gary,European Sculpture and Decorative Arts
Rogers Fund,Islamic Art
Walker Evans Archive,Photographs
Fletcher Fund,Asian Art
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Drawings and Prints
Gift of Jack A. Josephson,Islamic Art
"Purchase, Rogers Fund, Edward S. Harkness Gift and by exchange, 1922, 1929",Egyptian Art
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",Photographs
"Gift of Sir William H. Redding, in memory of his wife",European Sculpture and Decorative Arts
Rogers Fund,Drawings and Prints
Gift of Norbert Schimmel Trust,Ancient Near Eastern Art
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Drawings and Prints
"Gift of C. R. Lindley, M.D.",Photographs
