Id,start,end,type,departement
200437,1948,1948,Object,European Sculpture and Decorative Arts
549943,1916,1916,Object,Egyptian Art
215150,1908,1908,Object,European Sculpture and Decorative Arts
465731,1917,1917,Object,Medieval Art
750872,1947,1947,Object,Drawings and Prints
742019,1948,1948,Object,Islamic Art
503445,1992,1992,Object,Musical Instruments
255942,1989,1989,Object,Greek and Roman Art
666306,1998,1998,Object,Drawings and Prints
445342,1908,1908,Object,Islamic Art
52529,1929,1929,Object,Asian Art
436509,1982,1982,Object,European Paintings
371556,1942,1942,Object,Drawings and Prints
432395,1973,1973,Object,Drawings and Prints
156285,2009,2009,Object,Costume Institute
641353,1948,1948,Object,Drawings and Prints
37432,1986,1986,Object,Asian Art
265192,1987,1987,Object,Photographs
69350,1942,1942,Object,Asian Art
560060,1930,1930,Object,Egyptian Art
189967,1907,1907,Object,European Sculpture and Decorative Arts
372400,1955,1955,Object,Drawings and Prints
733674,2011,2011,Object,Greek and Roman Art
656645,1987,1987,Object,Drawings and Prints
823336,2020,2020,Object,The American Wing
383926,2008,2008,Object,Drawings and Prints
380242,1923,1923,Object,Drawings and Prints
346633,1959,1959,Object,Drawings and Prints
759647,1931,1931,Object,Drawings and Prints
224296,1936,1936,Object,European Sculpture and Decorative Arts
403128,1963,1963,Object,Drawings and Prints
158398,2009,2009,Object,European Sculpture and Decorative Arts
757345,2021,2021,Object,Drawings and Prints
342723,1917,1917,Object,Drawings and Prints
242912,1874,1874,Object,Greek and Roman Art
347645,1962,1962,Object,Drawings and Prints
727302,1963,1963,Object,Drawings and Prints
342928,1949,1949,Object,Drawings and Prints
17792,1892,1892,Object,The American Wing
326931,1984,1984,Object,Ancient Near Eastern Art
347900,1952,1952,Object,Drawings and Prints
1889,1971,1971,Object,The American Wing
263245,1981,1981,Object,Photographs
369299,1972,1972,Object,Drawings and Prints
310329,1977,1977,Object,"Arts of Africa, Oceania, and the Americas"
489987,1999,1999,Object,Modern and Contemporary Art
358494,2002,2002,Object,Drawings and Prints
76611,2011,2011,Object,Asian Art
402675,1963,1963,Object,Drawings and Prints
68804,1930,1930,Object,Asian Art
246888,1899,1899,Object,Greek and Roman Art
485241,1988,1988,Object,Modern and Contemporary Art
191652,1911,1911,Object,European Sculpture and Decorative Arts
453407,1997,1997,Object,Islamic Art
56236,1902,1902,Object,Asian Art
75849,1959,1959,Object,Asian Art
264583,1985,1985,Object,Photographs
450086,1940,1940,Object,Islamic Art
83545,1964,1964,Object,Costume Institute
700623,1937,1937,Object,Drawings and Prints
323790,1948,1948,Object,Ancient Near Eastern Art
839247,1975,1975,Object,Drawings and Prints
745967,2017,2017,Object,Costume Institute
395687,1981,1981,Object,Drawings and Prints
485812,1991,1991,Object,Modern and Contemporary Art
816243,1953,1953,Object,Drawings and Prints
750584,2011,2011,Object,Greek and Roman Art
186680,1884,1884,Object,European Sculpture and Decorative Arts
44963,1991,1991,Object,Asian Art
698859,2011,2011,Object,Greek and Roman Art
504884,1889,1889,Object,Musical Instruments
251551,1924,1924,Object,Greek and Roman Art
753230,2011,2011,Object,Greek and Roman Art
811377,1959,1959,Object,Drawings and Prints
411828,1961,1961,Object,Drawings and Prints
668420,2011,2011,Object,Greek and Roman Art
342139,1979,1979,Object,Drawings and Prints
423586,1959,1959,Object,Drawings and Prints
7514,1913,1913,Object,The American Wing
737242,2011,2011,Object,Greek and Roman Art
568835,1911,1911,Object,Egyptian Art
367057,1922,1922,Object,Drawings and Prints
843973,1970,1970,Object,Drawings and Prints
554492,1927,1927,Object,Egyptian Art
80119,1995,1995,Object,Costume Institute
853517,2021,2021,Object,The American Wing
811128,1920,1920,Object,Drawings and Prints
711606,1929,1929,Object,Drawings and Prints
759767,2011,2011,Object,Greek and Roman Art
312038,1978,1978,Object,"Arts of Africa, Oceania, and the Americas"
169976,2009,2009,Object,Costume Institute
39302,1995,1995,Object,Asian Art
81809,1991,1991,Object,Costume Institute
359341,1941,1941,Object,Drawings and Prints
80401,1994,1994,Object,Costume Institute
371791,1926,1926,Object,Drawings and Prints
694109,1963,1963,Object,Drawings and Prints
267540,1933,1933,Object,Photographs
291732,2009,2009,Object,Photographs
244574,1874,1874,Object,Greek and Roman Art
279253,1994,1994,Object,Photographs
448685,1932,1932,Object,Islamic Art
336437,1978,1978,Object,Drawings and Prints
388636,1918,1918,Object,Drawings and Prints
272563,1994,1994,Object,Photographs
359340,1941,1941,Object,Drawings and Prints
471668,1955,1955,Object,The Cloisters
427127,1963,1963,Object,Drawings and Prints
371021,1917,1917,Object,Drawings and Prints
394779,2010,2010,Object,Drawings and Prints
217434,1909,1909,Object,European Sculpture and Decorative Arts
159241,2009,2009,Object,Costume Institute
208983,1959,1959,Object,European Sculpture and Decorative Arts
737192,2011,2011,Object,Greek and Roman Art
419793,1930,1930,Object,Drawings and Prints
315223,1987,1987,Object,"Arts of Africa, Oceania, and the Americas"
201558,1953,1953,Object,European Sculpture and Decorative Arts
321652,1886,1886,Object,Ancient Near Eastern Art
83614,1989,1989,Object,Costume Institute
652812,1963,1963,Object,Drawings and Prints
491529,1999,1999,Object,Modern and Contemporary Art
503842,1889,1889,Object,Musical Instruments
95040,2003,2003,Object,Costume Institute
820944,1963,1963,Object,Drawings and Prints
450980,1949,1949,Object,Islamic Art
65262,2002,2002,Object,Asian Art
836078,2019,2019,Object,Drawings and Prints
393656,2010,2010,Object,Drawings and Prints
392155,1928,1928,Object,Drawings and Prints
819498,1926,1926,Object,Drawings and Prints
757719,1953,1953,Object,Drawings and Prints
843847,1958,1958,Object,Drawings and Prints
675551,1968,1968,Object,Photographs
