Source,Target
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",481970
Gift of Mr. and Mrs. WIlliam B. Liebman,292950
292950,1955
Gift of Mrs. Clyfford Still,326302
326302,1986
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",224810
224810,1954
Bequest of Joseph H. Durkee,197059
197059,1898
Rogers Fund,302901
302901,1927
Gift of Sally B. Walker,73747
73747,1985
Bequest of Cora E. Wells,112668
112668,1958
Rogers Fund,125169
125169,1909
Gift of Mrs. Emily Winthrop Miles,8511
8511,1946
"The Elisha Whittelsey Collection, The Elisha Whittelesy Fund",225774
225774,1963
Rogers Fund,320185
320185,1912
"Gift of Clarence H. Mackay, Archer M. Huntington, Stephen H. P. Pell and Bashford Dean",405533
405533,1928
"Gift of the Work Projects Administration, New York",242503
242503,1943
Gift of The United Piece Dye Works,132178
132178,1936
Gift of the Members of the Committee of the Bertha King Benkard Memorial Fund,652
652,1946
Harris Brisbane Dick Fund,258219
258219,1953
Rogers Fund,199381
199381,1959
Gift of James DeLancey Verplanck and John Bayard Rodgers Verplanck,495
495,1939
Rogers Fund and Edward S. Harkness Gift,342054
342054,1920
Gift of Fairchild Bowler,224364
224364,1965
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",379305
"Purchase, Funds from various donors, by exchange",431615
431615,2017
Gift of Mrs. Earl Rowe,70789
70789,1951
"The Sylmaris Collection, Gift of George Coe Graves",107355
107355,1930
Whittelsey Fund,332936
332936,1959
"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art",419621
419621,2011
Gift of Bernice Chrysler Garbisch,67781
67781,1977
Bequest of George C. Stone,25317
25317,1935
Gift of Doris Wiener,32516
32516,1989
"The Elisha Whittelsey Collection, TheElisha Whittelsey fund",409132
409132,1963
"Purchase, H. Dunscombe Colt Gift",200742
200742,1977
Gift of Mr. and Mrs. Stuart P. Feld,10094
10094,1977
Bequest of Joseph V. McMullan,61117
61117,1973
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",377270
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",210595
210595,1954
"Purchase, Leslie and Johanna Garfield Gift, Lila Acheson Wallace, Charles and Jessie Price, and David T Schiff Gifts, The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, Dolores Valvidia Hurlburt Bequest, Peco Foundation and Friends of Drawings and Prints Gifts, and funds from various donors",472172
472172,2019
Gift of John Kloss,79962
79962,1980
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",380599
380599,1953
Rogers Fund,125356
125356,1909
Gift of Weston J. Naef,426565
426565,1974
"Max G. Wildnauer Fund and The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",263161
263161,2011
"Gift of Mrs. Constance D. Stieglitz, in memory of her husband, Marcel H. Stieglitz",114213
114213,1964
Rogers Fund,303898
303898,1936
Rogers Fund,64443
64443,1955
"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art",403373
403373,2011
"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art",420026
420026,2011
Gift of Mary B. Sheehan,64339
64339,1982
Gift of The Honorable William Benton,234860
234860,1959
Bequest of Catherine D. Wentworth,110926
110926,1948
Rogers Fund,346005
346005,1916
"The Nuttall Collection, Gift of Mrs. Magdalena Nuttall",123753
